hash_spaces,train_last_touch_additivity_likelihood,train_robust_label_attribution_additivity_likelihood,test_last_touch_additivity_likelihood,test_robust_label_attribution_additivity_likelihood,train_last_touch_average_precision,train_robust_label_attribution_average_precision,test_last_touch_average_precision,test_robust_label_attribution_average_precision
1024,-0.08972392187053255,-0.08878451482333825,-0.08965597516278842,-0.08874039045767601,0.22478848714943922,0.23282307831101298,0.22199123318146977,0.23034491109254118
2048,-0.08875456016376454,-0.08769529159972059,-0.08881420731648154,-0.0878106883917024,0.23090293635572837,0.24194895479238285,0.2267268658117711,0.23741425984824213
4096,-0.08812435710257947,-0.08699327717341297,-0.0883887110127546,-0.08732848823120046,0.2340498032132929,0.24624291561193526,0.22811474786030467,0.2396700943277108
8192,-0.08768547836086002,-0.0865237183822311,-0.08826051306630846,-0.08715897454542905,0.23690659422441288,0.2495369066445739,0.2282737040852691,0.24027278977707306
16384,-0.08738212212681085,-0.08620107862252542,-0.08816871567517831,-0.08704694230903672,0.23935306077410462,0.2522303452521406,0.22851476957231887,0.2408839467540986
32768,-0.0871851905995666,-0.08598687921826748,-0.08814900270270493,-0.08701705074167378,0.241233299041921,0.25446704744002496,0.22851968171599346,0.24133288995015084
65536,-0.08708110644984203,-0.08587941953920555,-0.08811933297322493,-0.08698318292964007,0.24219433381359193,0.25550098654562675,0.22886114178791137,0.24176505011130325
